symbol,sector,industry
AAPL,Technology,Consumer Electronics
ABBV,Healthcare,Drug Manufacturers - General
ABNB,Consumer Cyclical,Travel Services
ABT,Healthcare,Medical Devices
ADBE,Technology,Software - Application
ADP,Technology,Software - Application
ADSK,Technology,Software - Application
AEP,Utilities,Utilities - Regulated Electric
AFL,Financial Services,Insurance - Life
AIG,Financial Services,Insurance - Diversified
ALGN,Healthcare,Medical Instruments & Supplies
ALL,Financial Services,Insurance - Property & Casualty
AMAT,Technology,Semiconductor Equipment & Materials
AMD,Technology,Semiconductors
AME,Industrials,Specialty Industrial Machinery
AMGN,Healthcare,Drug Manufacturers - General
AMP,Financial Services,Asset Management
AMT,Real Estate,REIT - Specialty
AMZN,Consumer Cyclical,Internet Retail
ANET,Technology,Computer Hardware
AON,Financial Services,Insurance Brokers
APD,Basic Materials,Specialty Chemicals
ARM,Technology,Semiconductors
ASML,Technology,Semiconductor Equipment & Materials
AVB,Real Estate,REIT - Residential
AVGO,Technology,Semiconductors
AWK,Utilities,Utilities - Regulated Water
AXP,Financial Services,Credit Services
AZO,Consumer Cyclical,Auto Parts
BA,Industrials,Aerospace & Defense
BAC,Financial Services,Banks - Diversified
BAX,Healthcare,Medical Instruments & Supplies
BBY,Consumer Cyclical,Specialty Retail
BDX,Healthcare,Medical Instruments & Supplies
BIIB,Healthcare,Drug Manufacturers - General
BKNG,Consumer Cyclical,Travel Services
BKR,Energy,Oil & Gas Equipment & Services
BLK,Financial Services,Asset Management
BMY,Healthcare,Drug Manufacturers - General
BSX,Healthcare,Medical Devices
BX,Financial Services,Asset Management
C,Financial Services,Banks - Diversified
CARR,Industrials,Building Products & Equipment
CAT,Industrials,Farm & Heavy Construction Machinery
CB,Financial Services,Insurance - Property & Casualty
CCI,Real Estate,REIT - Specialty
CDNS,Technology,Software - Application
CHD,Consumer Defensive,Household & Personal Products
CHTR,Communication Services,Telecom Services
CI,Healthcare,Healthcare Plans
CL,Consumer Defensive,Household & Personal Products
CLX,Consumer Defensive,Household & Personal Products
CMCSA,Communication Services,Telecom Services
CME,Financial Services,Financial Data & Stock Exchanges
CMG,Consumer Cyclical,Restaurants
CMS,Utilities,Utilities - Regulated Electric
CNC,Healthcare,Healthcare Plans
COF,Financial Services,Credit Services
COP,Energy,Oil & Gas E&P
COST,Consumer Defensive,Discount Stores
