symbol,ticker,exchange,article
BUD,BUD,NYSE,AB_InBev
AMD,AMD,NYSE,AMD
ALB,ALB,NYSE,Albemarle_Corporation
DUK,DUK,NYSE,Duke_Energy
DNB,DNB,NYSE,Dun_&_Bradstreet
DYN,DYN,NYSE,Dynegy
EOG,EOG,NYSE,EOG_Resources
ECL,ECL,NYSE,Ecolab
EL,EL,NYSE,Estée_Lauder_Companies
GWW,GWW,NYSE,W._W._Grainger
HCA,HCA,NYSE,HCA_Healthcare
WAT,WAT,NYSE,Waters_Corporation
TSN,TSN,NYSE,Tyson_Foods
EMR,EMR,NYSE,Emerson_Electric
DPS,DPS,NYSE,Dr_Pepper_Snapple_Group
AA,AA,NYSE,Alcoa
UNM,UNM,NYSE,Unum
VLO,VLO,NYSE,Valero_Energy
NSC,NSC,NYSE,Norfolk_Southern_Railway
TJX,TJX,NYSE,TJX
CMA,CMA,NYSE,Comerica
APA,APA,NYSE,APA_Corporation
ETR,ETR,NYSE,Entergy
ROK,ROK,NYSE,Rockwell_International
STZ,STZ,NYSE,Constellation_Brands
CSC,CSC,NYSE,Computer_Sciences_Corporation
CAG,CAG,NYSE,Conagra_Brands
ED,ED,NYSE,Consolidated_Edison
ATI,ATI,NYSE,Allegheny_Technologies
CVG,CVG,NYSE,Convergys
COO,COO,NYSE,The_Cooper_Companies
PVH,PVH,NYSE,PVH_Corp.
OTIS,OTIS,NYSE,Otis_Worldwide
DG,DG,NYSE,Dollar_General
XRX,XRX,NYSE,Xerox
KR,KR,NYSE,Kroger
UPS,UPS,NYSE,United_Parcel_Service
XOM,XOM,NYSE,ExxonMobil
RTN,RTN,NYSE,Raytheon
WRB,WRB,NYSE,W._R._Berkley_Corporation
MBI,MBI,NYSE,MBIA
LOW,LOW,NYSE,Lowe's
EG,EG,NYSE,Everest_Group
RE,RE,NYSE,Everest_Group
EXC,EXC,NYSE,Exelon
TWTR,TWTR,NYSE,"Twitter,_Inc."
FICO,FICO,NYSE,FICO
FIS,FIS,NYSE,FIS_(company)
LXK,LXK,NYSE,Lexmark
MMM,MMM,NYSE,3M
GDDY,GDDY,NYSE,GoDaddy
FHN,FHN,NYSE,First_Horizon_Corporation
FE,FE,NYSE,FirstEnergy
SUN,SUN,NYSE,Sunoco
HST,HST,NYSE,Host_Hotels_&_Resorts
SNA,SNA,NYSE,Snap-on
RL,RL,NYSE,Ralph_Lauren_Corporation
NUE,NUE,NYSE,Nucor
FCX,FCX,NYSE,Freeport-McMoRan
